日時,年齢,性別,おすすめアイテム,体温
2021/10/8 9:37,23.2802,女性,　,37
2021/10/8 9:37,18.6986,女性,　,36.9
2021/10/8 13:17,22.4723,女性,　,36.6
2021/10/8 13:18,21.5765,女性,　,36.7
2021/10/8 13:37,22.2448,女性,　,36.5
2021/10/8 13:42,25.1537,男性, ,36.8
2021/10/8 13:56,20.2823,男性, ,37
2021/10/8 13:56,33.9916,男性, ,37
2021/10/8 14:59,39.0216,女性,　,37.2
2021/10/8 15:00,21.8339,男性, ,37.5
2021/10/8 15:01,25.808,女性,　,
2021/10/8 15:02,28.7437,女性,　,37.3
2021/10/8 15:05,23.742,男性, ,37.2
2021/10/8 15:10,27.5841,女性,　,37.1
2021/10/8 15:10,19.0645,女性,　,37
2021/10/8 15:10,35.243,女性,　,37
2021/10/8 15:11,26.8048,女性,　,37
2021/10/8 15:12,28.4302,女性,　,37
2021/10/8 15:12,26.4372,女性,　,36.9
2021/10/8 15:13,26.3057,男性, ,37
2021/10/8 15:24,27.2212,男性, ,
2021/10/8 15:25,26.6054,男性, ,36.9
2021/10/8 15:25,31.2112,男性, ,36.5
2021/10/8 15:27,33.2955,男性, ,37.1
2021/10/8 15:27,28.6093,男性, ,
2021/10/11 16:13,34.9166,男性, ,
2021/10/11 16:40,21.7814,女性,　,
2021/10/15 11:22,28.7398,女性,　,37.3
2021/10/15 11:26,33.7037,男性, ,37.1
2021/10/15 11:27,33.0757,男性, ,37.2
2021/10/15 11:27,31.4144,男性, ,37.2
2021/10/15 11:28,30.5267,女性,　,37.2
2021/10/15 11:29,22.0872,女性,　,37
2021/10/15 11:29,22.8618,女性,　,37.1
2021/10/15 11:31,29.7533,女性,　,37
2021/10/15 11:31,32.0829,女性,　,37.1
2021/10/15 11:32,21.0312,女性,　,37
2021/10/15 11:33,27.4175,女性,　,
2021/10/15 11:34,29.8298,男性, ,37.1
2021/10/15 11:36,23.0047,女性,　,
2021/10/15 11:37,33.3598,女性,　,
2021/10/15 11:37,21.6162,女性,　,37
2021/10/15 11:37,35.387,女性,　,
2021/10/15 11:38,30.9786,女性,　,
2021/10/15 11:38,33.3187,女性,　,37
2021/10/15 11:39,21.9234,女性,　,36.8
2021/10/15 11:40,22.1288,女性,　,36.9
2021/10/15 11:40,23.9552,女性,　,
2021/10/15 11:41,20.6336,女性,　,36.7
2021/10/15 11:42,20.6231,女性,　,36.9
2021/10/15 11:43,34.932,男性, ,37.2
2021/10/15 11:44,32.2951,男性, ,37.1
2021/10/15 14:41,22.0141,女性,　,36.9
2021/10/15 14:42,32.236,男性, ,37
2021/10/15 14:42,25.9797,男性, ,37.1
2021/10/15 15:00,27.8848,男性, ,37.2
2021/10/15 16:48,32.2491,女性,　,36.3
2021/10/15 16:49,29.0935,男性, ,36.3
2021/10/15 16:49,26.3248,女性,　,
2021/10/15 16:49,34.5979,女性,　,36.4
2021/10/15 16:49,25.6309,女性,　,
2021/10/15 16:50,33.1521,男性, ,36.4
2021/10/15 16:50,32.4959,男性, ,36.1
2021/10/15 16:51,31.0155,男性, ,35.9
2021/10/15 16:52,34.2066,男性, ,36
2021/10/15 16:52,31.5868,男性, ,36
2021/10/15 16:52,35.04,男性, ,36
2021/10/15 16:53,22.2725,女性,　,35.7
2021/10/15 16:54,25.0003,女性,　,35.8
2021/10/15 16:54,21.8041,女性,　,
2021/10/15 16:55,23.9046,女性,　,35.8
2021/10/15 16:55,22.4976,女性,　,35.9
2021/10/15 16:55,24.4322,女性,　,35.9
2021/10/15 16:56,24.1075,女性,　,
2021/10/15 16:56,24.1445,女性,　,35.9
2021/10/15 16:56,13.5239,女性,　,
2021/10/15 16:57,22.5364,女性,　,
2021/10/15 16:57,26.1185,女性,　,35.8
2021/10/15 16:58,22.1469,女性,　,35.8
2021/10/15 17:17,35.7822,女性,　,35.8
2021/10/15 17:18,23.0419,男性, ,35.8
2021/10/15 17:19,24.6301,男性, ,35.8
2021/10/15 17:20,34.1546,女性,　,35.9
2021/10/15 17:20,33.4577,女性,　,36.1
2021/10/21 16:06,31.215,女性,　,
2021/10/21 16:07,33.4123,女性,　,36.8
2021/10/21 16:17,41.6752,男性, ,35.8
2021/10/21 17:39,12.4746,女性,　,35.5
2021/10/21 17:40,29.6193,男性, ,35.5
2021/10/21 17:42,23.5968,女性,　,35.8
2021/10/21 17:42,23.5946,女性,　,
2021/10/21 17:43,30.3823,女性,　,35.8
2021/10/21 18:14,24.0329,男性, ,35.5
2021/10/21 18:14,24.7611,男性, ,35.5
2021/10/21 19:08,22.3425,男性, ,35.7
2021/10/21 19:11,50.5675,男性, ,35.7
2021/10/21 19:50,27.8191,女性,　,35.6
2021/10/22 15:17,22.8781,女性,　,37.1
2021/10/22 15:18,18.9978,女性,　,36.6
2021/10/22 15:22,28.1168,女性,　,
2021/10/22 15:23,20.3505,女性,　,
2021/10/22 15:23,19.7916,女性,　,
2021/10/22 15:23,22.3525,女性,　,
2021/10/22 15:24,15.0688,女性,　,
2021/10/22 15:24,18.2173,女性,　,
2021/10/22 15:24,17.9068,女性,　,
2021/10/22 15:24,22.3236,女性,　,
2021/10/22 15:25,14.5684,女性,　,
2021/10/22 15:26,29.1802,女性,　,
2021/10/22 15:34,21.6486,男性, ,
2021/10/22 15:59,32.9713,男性, ,
2021/10/22 16:00,9.40764,女性,　,
2021/10/22 16:01,44.0437,女性,　,
2021/10/22 16:02,17.7182,女性,　,
2021/10/22 16:08,13.7272,女性,　,
2021/10/22 20:19,38.8236,男性, ,
2021/10/22 20:20,21.8006,男性, ,
2021/10/22 20:20,27.6149,男性, ,
2021/10/22 20:20,34.4482,男性, ,
2021/10/22 20:20,37.5014,男性, ,
2021/10/22 20:20,25.1935,男性, ,
2021/10/22 20:21,23.6264,男性, ,
2021/10/22 20:22,25.0687,男性, ,
2021/10/22 20:24,23.713,男性, ,
2021/10/22 20:24,27.0154,男性, ,
2021/10/22 20:24,24.2118,男性, ,
2021/10/22 20:25,32.7755,男性, ,
2021/10/22 20:25,23.3346,男性, ,
2021/10/22 20:25,25.4111,男性, ,
2021/10/22 20:25,24.3442,男性, ,
2021/10/25 10:11,22.8736,女性,　,
2021/10/25 10:12,21.9166,女性,　,
2021/10/25 10:12,17.3516,女性,　,
2021/10/25 10:12,21.7221,女性,　,
2021/10/25 10:14,24.7836,男性, ,
2021/10/25 10:14,23.8211,男性, ,
2021/10/25 10:15,25.1102,女性,　,
2021/10/25 10:15,24.5395,男性, ,
2021/10/25 10:16,35.865,男性, ,
2021/10/25 10:16,33.7842,女性,　,
2021/10/25 10:16,28.9956,女性,　,
2021/10/25 10:16,30.7231,男性, ,
2021/10/25 10:17,29.2286,女性,　,
2021/10/25 10:21,33.2689,男性, ,
2021/10/25 10:23,23.122,女性,　,
2021/10/25 10:24,25.6021,男性, ,
2021/10/25 10:24,25.2805,女性,　,
2021/10/25 10:24,14.6706,女性,　,
2021/10/25 10:25,12.8314,女性,　,
2021/10/25 10:26,27.7735,男性, ,
2021/10/25 10:26,32.6887,女性,　,
2021/10/25 10:26,28.8522,男性, ,
2021/10/25 10:35,25.5069,男性, ,
2021/10/25 10:35,25.1211,男性, ,
2021/10/25 10:36,28.0335,男性, ,
2021/10/25 10:36,29.5958,男性, ,
2021/10/25 10:36,27.8993,男性, ,
2021/10/25 10:36,26.0514,男性, ,
2021/10/25 10:44,12.3892,女性,　,
2021/10/25 11:03,23.8429,男性, ,
2021/10/25 11:04,22.0638,女性,　,
2021/10/25 11:04,29.1962,男性, ,
2021/10/25 11:05,42.825,男性, ,
2021/10/25 11:05,22.1275,女性,　,
2021/10/25 12:36,23.2356,男性, ,
2021/10/25 12:36,25.0739,女性,　,
2021/10/25 12:37,31.2656,女性,　,
2021/10/25 12:37,39.4801,女性,　,
2021/10/25 12:37,31.1497,男性, ,
2021/10/25 12:38,29.9829,女性,　,
2021/10/25 12:38,33.2536,女性,　,
2021/10/25 12:38,24.0096,女性,　,
2021/10/25 12:40,28.3684,女性,　,
2021/10/25 12:40,21.5235,女性,　,
2021/10/25 12:40,28.152,女性,　,
2021/10/25 12:41,28.7218,女性,　,
2021/10/25 12:41,28.6835,男性, ,
2021/10/25 12:42,26.2054,男性, ,
2021/10/25 12:42,32.3425,女性,　,
2021/10/25 12:43,35.9147,女性,　,
2021/10/25 12:43,25.8809,男性, ,
2021/10/25 12:44,26.5341,女性,　,
2021/10/25 12:45,23.9932,男性, ,
2021/10/25 12:45,29.9577,男性, ,
2021/10/25 12:46,25.3386,男性, ,
2021/10/25 12:46,31.2709,男性, ,
2021/10/25 12:46,21.1138,男性, ,
2021/10/25 12:48,26.8388,男性, ,
2021/10/25 17:20,29.784,女性,　,
2021/10/25 17:20,29.6583,女性,　,
2021/10/25 17:21,31.8883,女性,　,
2021/10/25 17:34,57.775,男性, ,
2021/10/25 17:36,43.7165,女性,　,
2021/10/26 9:08,23.2897,女性,　,
2021/10/26 9:13,24.9763,男性, ,
2021/10/26 9:14,38.9998,男性, ,
2021/10/26 9:16,33.3604,男性, ,
2021/10/26 9:17,30.5616,男性, ,
2021/10/26 9:17,34.8746,女性,　,
2021/10/26 9:17,21.9303,男性, ,
2021/10/26 9:20,47.4386,女性,　,
2021/10/26 9:21,43.7434,女性,　,
2021/10/26 9:22,29.9248,男性, ,
2021/10/26 9:30,21.9036,男性, ,
2021/10/26 9:31,24.0713,女性,　,
2021/10/26 9:31,30.0759,女性,　,
2021/10/26 9:31,31.5111,女性,　,
2021/10/26 9:32,30.0684,女性,　,
2021/10/26 9:32,29.7412,男性, ,
2021/10/26 9:32,15.0707,女性,　,
2021/10/26 9:32,24.2913,女性,　,
2021/10/26 9:33,29.1418,女性,　,
2021/10/26 9:33,23.8987,女性,　,
2021/10/26 9:33,18.7422,女性,　,
2021/10/26 9:34,29.8768,男性, ,
2021/10/26 9:34,19.7681,男性, ,
2021/10/26 9:35,16.6492,男性, ,
2021/10/26 9:35,26.0428,女性,　,
2021/10/26 9:35,33.9871,男性, ,
2021/10/26 9:40,29.734,男性, ,
2021/10/26 9:41,27.8573,男性, ,
2021/10/26 9:43,34.6261,男性, ,
2021/10/26 9:46,29.5413,女性,　,
2021/10/26 9:46,52.1186,男性, ,
2021/10/26 9:46,28.5332,男性, ,
2021/10/26 9:48,27.7361,男性, ,
2021/10/26 9:49,26.5229,男性, ,
2021/10/26 9:53,19.2662,女性,　,
2021/10/26 9:55,24.5598,男性, ,
2021/10/26 9:55,25.7657,男性, ,
2021/10/26 9:56,41.7374,男性, ,
2021/10/26 9:57,13.7518,男性, ,
2021/10/26 9:58,25.9187,男性, ,
2021/10/26 9:58,25.9976,男性, ,
2021/10/26 9:58,25.3798,男性, ,
2021/10/26 9:58,24.674,男性, ,
2021/10/26 9:59,40.4201,男性, ,
2021/10/26 9:59,25.4271,男性, ,
2021/10/26 9:59,37.4911,女性,　,
2021/10/26 9:59,29.024,女性,　,
2021/10/26 10:00,28.2662,女性,　,
2021/10/26 10:00,23.7397,男性, ,
2021/10/26 10:00,24.6768,男性, ,
2021/10/26 10:01,25.8219,女性,　,
2021/10/26 10:03,22.7372,女性,　,
2021/10/26 10:04,24.732,男性, ,
2021/10/26 10:04,22.7432,女性,　,
2021/10/26 10:05,22.5389,男性, ,
2021/10/26 10:09,25.2837,女性,　,
2021/10/26 10:12,24.125,男性, ,
2021/10/26 10:32,26.5746,男性, ,
2021/10/26 10:36,33.3059,女性,　,
2021/10/26 10:36,21.1697,男性, ,
2021/10/26 10:36,22.4449,男性, ,
2021/10/26 10:36,32.1174,男性, ,
2021/10/26 10:47,43.3267,男性, ,
2021/10/26 10:48,45.7404,男性, ,
2021/10/26 10:49,42.2275,男性, ,
2021/10/26 10:49,22.3541,女性,　,
2021/10/26 10:49,29.8337,男性, ,
2021/10/26 10:56,32.7132,女性,　,
2021/10/26 10:57,32.3957,男性, ,
2021/10/26 10:59,21.0559,男性, ,
2021/10/26 11:10,31.7929,女性,　,
2021/10/26 11:10,16.7999,男性, ,
2021/10/26 11:13,24.3569,男性, ,
2021/10/26 11:14,16.7983,女性,　,
2021/10/26 11:15,23.3983,男性, ,
2021/10/26 11:34,37.8372,男性, ,
2021/10/26 11:34,27.9912,女性,　,
2021/10/26 11:35,21.4124,男性, ,
2021/10/26 11:35,26.8605,女性,　,
2021/10/26 11:36,24.1167,男性, ,
2021/10/26 11:36,24.5262,男性, ,
2021/10/26 11:36,24.2493,女性,　,
2021/10/26 11:36,22.5439,男性, ,
2021/10/26 11:38,28.6487,女性,　,
2021/10/26 11:38,45.9558,男性, ,
2021/10/26 11:38,36.5798,男性, ,
2021/10/26 11:38,20.1071,男性, ,
2021/10/26 11:39,31.2605,男性, ,
2021/10/26 11:40,23.3882,男性, ,
2021/10/26 11:40,21.048,男性, ,
2021/10/26 11:41,47.7923,男性, ,
2021/10/26 11:41,28.3211,女性,　,
2021/10/26 11:41,33.1081,男性, ,
2021/10/26 11:41,26.3843,女性,　,
2021/10/26 11:41,37.2813,女性,　,
2021/10/26 11:41,36.0171,女性,　,
2021/10/26 11:42,27.2886,女性,　,
2021/10/26 11:42,22.6309,女性,　,
2021/10/26 11:43,21.7865,男性, ,
2021/10/26 11:44,32.5725,女性,　,
2021/10/26 11:45,32.2055,女性,　,
2021/10/26 11:46,26.3397,女性,　,
2021/10/26 11:46,20.2713,女性,　,
2021/10/26 11:49,60.3694,男性, ,
2021/10/26 11:49,41.4433,男性, ,
2021/10/26 11:49,24.6149,男性, ,
2021/10/26 11:49,30.0647,男性, ,
2021/10/26 11:50,28.0264,男性, ,
2021/10/26 11:51,16.0614,男性, ,
2021/10/26 11:51,36.4003,男性, ,
2021/10/26 11:51,16.0066,男性, ,
2021/10/26 11:51,28.8363,男性, ,
2021/10/26 11:52,26.9967,男性, ,
2021/10/26 11:52,30.3538,男性, ,
2021/10/26 11:53,27.3381,男性, ,
2021/10/26 11:54,38.0768,女性,　,
2021/10/26 11:54,34.7889,女性,　,
2021/10/26 11:55,30.3728,男性, ,
2021/10/26 11:55,37.1692,女性,　,
2021/10/26 11:59,22.9626,男性, ,
2021/10/26 11:59,24.3804,男性, ,
2021/10/26 11:59,15.3657,男性, ,
2021/10/26 12:00,25.9613,男性, ,
2021/10/26 12:08,32.1211,男性, ,
2021/10/26 12:08,23.9604,男性, ,
2021/10/26 12:09,45.2256,男性, ,
2021/10/26 12:10,26.431,男性, ,
2021/10/26 12:10,36.4616,女性,　,
2021/10/26 12:11,26.971,男性, ,
2021/10/26 12:11,46.0875,女性,　,
2021/10/26 12:11,30.2927,女性,　,
2021/10/26 12:12,25.3633,男性, ,
2021/10/26 12:13,24.2245,男性, ,
2021/10/26 12:15,25.2006,男性, ,
2021/10/26 12:15,45.1932,男性, ,
2021/10/26 12:15,36.1674,男性, ,
2021/10/26 12:15,10.6115,女性,　,
2021/10/26 12:15,45.3976,女性,　,
2021/10/26 12:16,37.5051,男性, ,
2021/10/26 12:16,32.7243,男性, ,
2021/10/26 12:16,24.1539,男性, ,
2021/10/26 12:17,45.2274,男性, ,
2021/10/26 12:17,18.9208,男性, ,
2021/10/26 12:17,36.0028,男性, ,
2021/10/26 12:18,25.2717,女性,　,
2021/10/26 12:18,22.7393,女性,　,
2021/10/26 12:18,32.617,男性, ,
2021/10/26 12:19,28.9636,男性, ,
2021/10/26 12:19,34.446,男性, ,
2021/10/26 12:19,27.3494,男性, ,
2021/10/26 12:22,14.6959,女性,　,
2021/10/26 12:30,39.8691,男性, ,
2021/10/26 12:30,26.2356,女性,　,
2021/10/26 12:33,23.5726,男性, ,
2021/10/26 12:33,23.1203,女性,　,
2021/10/26 12:35,21.1758,女性,　,
2021/10/26 12:36,46.1664,男性, ,
2021/10/26 12:36,35.8929,男性, ,
2021/10/26 12:39,25.1,男性, ,
2021/10/26 12:45,29.2368,男性, ,
2021/10/26 12:46,26.0744,男性, ,
2021/10/26 12:52,32.9254,男性, ,
2021/10/26 13:01,24.7206,男性, ,
2021/10/26 13:01,29.1941,男性, ,
2021/10/26 13:02,41.5895,女性,　,
2021/10/26 13:03,23.0998,女性,　,
2021/10/26 13:04,21.2656,男性, ,
2021/10/26 13:05,20.3802,男性, ,
2021/10/26 13:06,19.4446,女性,　,
2021/10/26 13:06,23.732,女性,　,
2021/10/26 13:07,33.8293,男性, ,
2021/10/26 13:08,25.4868,男性, ,
2021/10/26 13:08,24.8081,男性, ,
2021/10/26 13:19,26.9963,男性, ,
2021/10/26 13:20,31.8121,男性, ,
2021/10/26 13:21,15.5282,女性,　,
2021/10/26 13:21,51.738,男性, ,
2021/10/26 13:22,21.2447,男性, ,
2021/10/26 13:22,39.7394,男性, ,
2021/10/26 13:28,34.8585,男性, ,
2021/10/26 13:35,48.8989,男性, ,
2021/10/26 13:35,25.5345,男性, ,
2021/10/26 13:35,25.7014,男性, ,
2021/10/26 13:36,24.0036,男性, ,
2021/10/26 13:36,9.5094,女性,　,
2021/10/26 13:37,23.5519,男性, ,
2021/10/26 13:38,24.6986,女性,　,
2021/10/26 13:41,22.4925,男性, ,
2021/10/26 13:43,28.4863,女性,　,
2021/10/26 13:44,24.9863,男性, ,
2021/10/26 13:45,46.6088,男性, ,
2021/10/26 13:46,33.9527,男性, ,
2021/10/26 13:47,27.8375,男性, ,
2021/10/26 13:48,26.532,男性, ,
2021/10/26 13:49,44.6642,男性, ,
2021/10/26 13:51,30.7551,男性, ,
2021/10/26 13:51,31.3329,男性, ,
2021/10/26 13:52,30.9404,男性, ,
2021/10/26 13:53,41.7823,男性, ,
2021/10/26 13:53,34.6267,女性,　,
2021/10/26 13:57,18.6837,女性,　,
2021/10/26 13:58,19.5708,男性, ,
2021/10/26 14:04,31.4989,男性, ,
2021/10/26 14:10,34.2014,女性,　,
2021/10/26 14:11,28.1561,男性, ,
2021/10/26 14:13,18.763,男性, ,
2021/10/26 14:16,43.546,女性,　,
2021/10/26 14:16,32.3779,男性, ,
2021/10/26 14:17,29.9631,男性, ,
2021/10/26 14:17,23.643,女性,　,
2021/10/26 14:22,32.6894,男性, ,
2021/10/26 14:22,25.9721,男性, ,
2021/10/26 14:23,28.7016,男性, ,
2021/10/26 14:23,26.7379,男性, ,
2021/10/26 14:24,31.1087,男性, ,
2021/10/26 14:27,39.2415,男性, ,
2021/10/26 14:28,38.204,男性, ,
2021/10/26 14:28,21.1463,男性, ,
2021/10/26 14:33,25.5793,男性, ,
2021/10/26 14:33,32.3118,男性, ,
2021/10/26 14:41,20.5678,男性, ,
2021/10/26 14:43,21.7193,男性, ,
2021/10/26 14:46,35.75,男性, ,
2021/10/26 14:49,38.3214,女性,　,
2021/10/26 14:49,27.7874,女性,　,
2021/10/26 14:49,30.9609,女性,　,
2021/10/26 14:51,31.2603,男性, ,
2021/10/26 14:55,26.8331,男性, ,
2021/10/26 14:55,52.1101,男性, ,
2021/10/26 14:56,24.0738,女性,　,
2021/10/26 15:09,32.1012,女性,　,
2021/10/26 15:09,44.0406,女性,　,
2021/10/26 15:11,67.3109,男性, ,
2021/10/26 15:11,23.5548,男性, ,
2021/10/26 15:14,38.7618,男性, ,
2021/10/26 15:19,33.5811,男性, ,
2021/10/26 15:20,26.4065,女性,　,
2021/10/26 15:21,25.6355,女性,　,
2021/10/26 15:30,29.5466,男性, ,
2021/10/26 15:30,29.2945,男性, ,
2021/10/26 15:32,24.4248,男性, ,
2021/10/26 15:41,25.4937,男性, ,
2021/10/26 15:45,30.1866,男性, ,
2021/10/26 15:45,27.3336,男性, ,
2021/10/26 15:49,28.5231,女性,　,
2021/10/26 15:50,32.4206,女性,　,
2021/10/26 15:51,38.1717,女性,　,
2021/10/26 15:56,38.828,男性, ,
2021/10/26 16:07,26.8836,男性, ,
2021/10/26 16:13,27.6364,男性, ,
2021/10/26 16:15,24.0737,男性, ,
2021/10/26 16:18,19.7097,男性, ,
2021/10/26 16:18,24.656,男性, ,
2021/10/26 16:26,32.5063,男性, ,
2021/10/26 16:29,18.8081,女性,　,
2021/10/26 16:29,27.7201,男性, ,
2021/10/26 16:31,31.3492,女性,　,
2021/10/26 16:31,37.948,女性,　,
2021/10/26 16:31,30.5083,男性, ,
2021/10/26 16:32,23.6321,女性,　,
2021/10/26 16:32,46.1139,女性,　,
2021/10/26 16:35,30.0946,女性,　,
2021/10/26 16:43,35.6865,女性,　,
2021/10/26 16:45,36.4549,男性, ,
2021/10/26 16:46,23.2188,男性, ,
2021/10/26 17:02,37.7126,男性, ,
2021/10/26 17:07,26.4573,男性, ,
2021/10/26 17:11,26.4807,男性, ,
2021/10/26 17:26,26.7361,女性,　,
2021/10/26 17:27,23.4208,女性,　,
2021/10/26 17:38,31.7382,女性,　,
2021/10/26 17:39,25.0521,女性,　,
2021/10/26 17:42,22.3226,女性,　,
2021/10/26 17:44,24.9324,男性, ,
2021/10/26 17:45,62.6399,男性, ,
2021/10/26 17:45,46.2418,男性, ,
2021/10/26 17:46,25.2478,男性, ,
2021/10/26 17:47,50.3041,男性, ,
2021/10/26 17:50,23.1412,男性, ,
2021/10/26 17:57,11.2303,男性, ,
2021/10/26 17:59,27.3238,男性, ,
2021/10/26 18:00,36.4674,男性, ,
2021/10/26 18:00,27.7133,男性, ,
2021/10/26 18:03,30.1528,女性,　,
2021/10/26 18:06,46.7588,男性, ,
2021/10/26 18:06,43.675,女性,　,
2021/10/26 18:06,25.9144,男性, ,
2021/10/26 18:07,39.6769,男性, ,
2021/10/26 18:08,26.0985,男性, ,
2021/10/26 18:14,32.961,男性, ,
2021/10/26 18:25,43.6231,男性, ,
2021/10/26 18:25,51.6294,男性, ,
2021/10/26 18:31,60.4243,男性, ,
2021/10/26 18:36,38.9258,女性,　,
2021/10/26 18:40,32.2737,男性, ,
2021/10/26 18:41,30.4307,男性, ,
2021/10/26 18:43,22.6935,女性,　,
2021/10/26 18:44,18.4118,女性,　,
2021/10/26 18:46,27.2173,男性, ,
2021/10/26 18:48,22.4666,男性, ,
2021/10/26 18:49,37.1338,男性, ,
2021/10/26 18:54,31.4961,男性, ,
2021/10/26 18:56,30.1854,男性, ,
